lead_id,nome_ficticio,municipio,canal_captacao,curso_interesse,faixa_etaria,turno_preferencia,dia_semana_contato,dias_sem_contato,n_tentativas,respondeu_contato,renda_estimada,converteu
96,Dra. Raquel Cassiano,Garcia do Sul,Facebook Ads,Inglês Básico,25-34,Tarde,Domingo,9,2,1,7486.56,1
97,Juan Cunha,Vargas,Instagram,Inglês Adulto,25-34,Noite,Sexta-feira,9,1,0,,0
98,Vitor Hugo Araújo,Gomes,Indicação,Inglês Básico,18-24,Tarde,Segunda-feira,8,5,0,2481.17,1
99,Sra. Ana Laura Aragão,da Cruz de Sousa,Indicação,Inglês Básico,18-24,Manhã,Sábado,8,2,0,3625.54,1
100,Pietra Montenegro,Costa,Evento Presencial,Inglês Básico,25-34,Tarde,Quinta-feira,7,2,1,,1
101,Eduarda Araújo,Sousa de Vargas,Evento Presencial,Inglês Adulto,45-54,Manhã,Quarta-feira,9,1,0,976.51,0
102,Anna Liz Cirino,Moreira,Facebook Ads,Inglês Básico,25-34,Tarde,Quinta-feira,8,2,0,5528.97,0
103,Bernardo Rocha,Melo,Instagram,Inglês Teens,35-44,Manhã,Sábado,8,2,0,2848.1,0
104,Nathan Campos,Rodrigues da Mata,Evento Presencial,Inglês Básico,,Noite,Quarta-feira,3,1,1,,1
105,Isadora Pacheco,Castro do Norte,Tráfego Orgânico,Inglês Adulto,18-24,,Quinta-feira,8,4,1,5527.77,0
106,Ana Cecília Pinto,da Cunha,Facebook Ads,Inglês Intermediário,18-24,Tarde,Quarta-feira,7,3,1,,0
107,Otto Ribeiro,Porto de da Rosa,Google Ads,Inglês Intermediário,25-34,Manhã,Segunda-feira,4,4,0,4696.1,0
108,Stephany Dias,Fonseca,Instagram,Inglês Básico,35-44,,Sexta-feira,5,0,0,10106.75,0
109,Gustavo Rios,Rios,Indicação,Inglês Teens,25-34,Noite,Segunda-feira,5,4,1,4614.68,0
110,Sra. Isabella da Luz,Camargo,Evento Presencial,Espanhol,35-44,Noite,Quarta-feira,7,3,0,4132.9,0
111,Caroline Rios,Porto,Google Ads,Inglês Básico,45-54,Manhã,Quarta-feira,7,2,1,,0
112,Letícia Marques,Duarte do Sul,Instagram,Inglês Básico,35-44,Tarde,Terça-feira,4,1,0,1725.89,0
113,Sr. Anthony Marques,Vieira,Instagram,Espanhol,,Tarde,Quarta-feira,4,4,0,5921.34,0
114,Beatriz Barbosa,Pacheco do Campo,Google Ads,Inglês Adulto,35-44,Tarde,Quinta-feira,5,2,0,911.88,0
115,Hadassa Montenegro,Vieira de Goiás,Instagram,Inglês Básico,45-54,Manhã,Terça-feira,9,0,0,2535.33,0
116,Davi Lucca Ferreira,Aparecida,Tráfego Orgânico,Inglês Básico,45-54,Noite,Terça-feira,2,2,1,3544.42,1
117,Joaquim Freitas,Sales de Peixoto,Tráfego Orgânico,Inglês Adulto,35-44,,Sábado,8,1,0,2266.86,0
118,Emanuel Macedo,Freitas,Facebook Ads,Inglês Teens,45-54,Manhã,Domingo,8,2,1,2729.99,0
119,Liz Pimenta,da Cruz,Google Ads,Inglês Adulto,55+,,Quarta-feira,6,3,1,9625.54,0
120,Vitória Albuquerque,Monteiro,Facebook Ads,Francês,25-34,Noite,Terça-feira,8,1,1,6423.58,0
121,Letícia Ribeiro,Rodrigues,Google Ads,Inglês Intermediário,35-44,Tarde,Segunda-feira,4,1,1,2400.21,0
122,Davi Luiz da Luz,Teixeira do Norte,Facebook Ads,Inglês Intermediário,25-34,Manhã,Segunda-feira,4,2,1,2703.38,0
123,Cauê Souza,Fogaça,Indicação,Inglês Intermediário,45-54,Tarde,Quarta-feira,9,3,1,1733.97,1
124,Daniela da Mata,Sampaio,Google Ads,Inglês Intermediário,25-34,Noite,Domingo,4,0,0,5157.8,0
125,Gustavo Henrique Silva,Cardoso,Indicação,Inglês Básico,45-54,Tarde,Sexta-feira,7,0,1,3050.8,0
126,Sr. João Montenegro,da Conceição de Dias,Google Ads,Inglês Básico,,Noite,Quarta-feira,6,0,1,,0
127,Isis Aragão,Macedo do Oeste,Instagram,Inglês Intermediário,55+,Tarde,Domingo,6,1,0,3699.49,0
128,Otávio da Mota,Sales,Indicação,Inglês Teens,25-34,,Quarta-feira,8,2,1,4455.78,0
129,Alexandre Farias,Fogaça Grande,Indicação,Inglês Básico,35-44,Noite,Terça-feira,5,3,0,5944.64,0
130,João Castro,Aparecida do Amparo,Google Ads,Inglês Intermediário,35-44,Noite,Quarta-feira,12,1,1,3361.6,0
131,Sra. Mariane Novais,Novais de da Rocha,Instagram,Inglês Adulto,55+,Tarde,Terça-feira,8,1,0,2851.35,1
132,Daniel Barbosa,Correia de Nunes,Evento Presencial,Inglês Adulto,45-54,Noite,Sábado,10,0,1,10435.45,0
133,Srta. Ísis Andrade,Nogueira,Google Ads,Inglês Teens,35-44,Tarde,Quarta-feira,4,1,0,3512.7,0
134,Sr. Pedro Cardoso,Duarte dos Dourados,Instagram,Inglês Teens,35-44,Tarde,Quinta-feira,6,1,1,5199.29,0
135,Leandro Fonseca,Peixoto da Prata,Google Ads,Inglês Teens,18-24,Noite,Quarta-feira,6,4,0,2601.31,0
136,Luiz Henrique Costela,Azevedo,Indicação,Inglês Básico,,Noite,Sábado,16,4,1,5115.18,0
137,Isadora Rios,Machado,Evento Presencial,Inglês Intermediário,,Tarde,Quinta-feira,4,1,0,1571.71,0
138,Luiz Gustavo Vasconcelos,da Luz da Prata,Google Ads,Inglês Adulto,35-44,Noite,Quarta-feira,1,3,1,2714.55,0
139,Maria Luísa Pinto,Marques do Sul,Tráfego Orgânico,Inglês Básico,35-44,Tarde,Segunda-feira,8,4,0,,0
140,Srta. Isabela Castro,Siqueira da Serra,Indicação,Inglês Básico,25-34,Manhã,Sábado,11,2,0,2509.36,0
141,Noah Alves,Pinto,Google Ads,Inglês Básico,25-34,Noite,Quinta-feira,5,0,0,6962.38,0
142,Lucas Gabriel Viana,Vasconcelos de Goiás,Google Ads,Inglês Intermediário,18-24,Tarde,Terça-feira,10,2,1,2499.23,0
143,Isadora da Mata,Silveira de Minas,Evento Presencial,Inglês Intermediário,45-54,Noite,Sábado,6,3,0,5195.56,0
144,Cauê Garcia,Correia do Galho,Google Ads,Inglês Básico,25-34,Noite,Segunda-feira,9,2,1,,0
145,Ravy Câmara,Vargas de Novaes,Google Ads,Inglês Teens,18-24,Noite,Terça-feira,6,2,0,3447.31,0
146,Raul Ferreira,Pimenta,Instagram,Espanhol,35-44,Tarde,Quinta-feira,14,5,1,6045.63,0
147,Ian Câmara,Duarte das Pedras,Instagram,Inglês Básico,25-34,Noite,Terça-feira,8,4,0,4687.32,0
148,Gael Guerra,Camargo do Campo,Google Ads,Espanhol,45-54,Noite,Quarta-feira,8,2,0,3731.47,0
149,Dr. Bernardo Vargas,Aparecida,Google Ads,Inglês Básico,25-34,Noite,Terça-feira,8,2,0,5287.98,0
150,Luiz Fernando Ramos,Cavalcanti,Indicação,Espanhol,25-34,Tarde,Segunda-feira,9,2,0,9628.51,0
151,Maria Liz Rocha,Costa,Tráfego Orgânico,Francês,18-24,Tarde,Segunda-feira,6,3,0,2465.18,1
152,Luísa Alves,Mendonça,Tráfego Orgânico,Inglês Básico,25-34,,Segunda-feira,7,1,0,2065.15,0
153,José Pedro Cavalcanti,Brito,Indicação,Inglês Teens,25-34,Tarde,Domingo,9,0,0,1999.53,0
154,Julia Andrade,Oliveira,Google Ads,Francês,35-44,Manhã,Quinta-feira,8,6,1,6047.82,0
155,Pedro Henrique Ferreira,Ribeiro do Amparo,Indicação,Espanhol,25-34,Noite,Quarta-feira,10,0,0,,0
156,Sra. Maya Pereira,Aragão da Praia,Facebook Ads,Francês,25-34,Noite,Quarta-feira,6,2,1,2604.9,0
157,Bruna Gomes,Pereira,Instagram,Inglês Adulto,,Tarde,Sexta-feira,7,2,0,1081.07,0
158,Esther da Cunha,Albuquerque,Facebook Ads,Inglês Básico,,Tarde,Segunda-feira,8,1,0,2414.87,0
159,Pedro Henrique Abreu,Rezende,Facebook Ads,Inglês Teens,45-54,Noite,Terça-feira,6,2,0,4730.75,0
160,Zoe Rodrigues,Barros de Martins,Tráfego Orgânico,Inglês Adulto,18-24,Manhã,Quinta-feira,1,1,0,3373.89,0
161,Dra. Fernanda Fonseca,Fonseca,Indicação,Inglês Adulto,55+,Noite,Quarta-feira,7,3,0,3864.97,1
162,Ana Lívia Rios,Freitas do Norte,Evento Presencial,Inglês Intermediário,25-34,Tarde,Sexta-feira,5,2,1,2624.59,1
163,Dr. Davi Silveira,Moura do Norte,Instagram,Inglês Adulto,18-24,,Sábado,4,5,1,6113.58,0
164,Thiago das Neves,da Rosa,Indicação,Inglês Básico,25-34,Manhã,Sexta-feira,3,4,1,4227.11,0
165,Maria Luísa Duarte,Cunha,Google Ads,Inglês Teens,,Noite,Terça-feira,6,1,0,4832.28,0
166,Laís Novaes,Brito,Instagram,Inglês Básico,35-44,Manhã,Segunda-feira,4,3,0,3819.99,0
167,Gael Leão,Nascimento,Tráfego Orgânico,Inglês Teens,25-34,Noite,Segunda-feira,9,1,1,4670.03,1
168,Maria Helena Rocha,Correia do Oeste,Tráfego Orgânico,Inglês Teens,25-34,Manhã,Sexta-feira,8,2,0,4504.05,0
169,Srta. Liz Guerra,Nunes,Instagram,Inglês Intermediário,,Manhã,Sábado,6,2,0,2100.81,1
170,Agatha da Rosa,Novais,Evento Presencial,Inglês Adulto,,,Sábado,11,1,0,4297.13,1
171,Gustavo Henrique Lopes,Souza do Campo,Instagram,Inglês Intermediário,55+,Manhã,Terça-feira,6,0,0,5409.15,0
172,Luna Martins,Rocha dos Dourados,Google Ads,Francês,55+,Manhã,Sábado,7,1,1,6606.74,0
173,Melina Rocha,Caldeira da Serra,Instagram,Inglês Teens,35-44,Tarde,Quinta-feira,11,1,0,4400.08,0
174,Thomas Melo,Novaes,Evento Presencial,Inglês Intermediário,45-54,Noite,Sexta-feira,8,3,0,2058.29,0
175,Srta. Antonella da Paz,Montenegro Alegre,Instagram,Inglês Básico,35-44,,Quinta-feira,8,0,1,2240.14,0
176,Lívia Borges,Nascimento,Indicação,Inglês Básico,25-34,Manhã,Segunda-feira,7,2,1,2755.04,0
177,Leonardo Câmara,Fogaça de Dias,Google Ads,Inglês Intermediário,35-44,Noite,Segunda-feira,8,1,0,3884.4,0
178,Diogo Alves,Freitas das Pedras,Evento Presencial,Espanhol,18-24,Noite,Domingo,7,1,0,3272.43,1
179,Joaquim Melo,Silveira Alegre,Tráfego Orgânico,Inglês Teens,35-44,Noite,Quarta-feira,4,2,1,1886.48,0
180,Ana Sophia Marques,Nunes,Facebook Ads,Inglês Básico,55+,Noite,Quarta-feira,6,2,0,1880.27,0
181,Evelyn Silva,Garcia,Tráfego Orgânico,Espanhol,18-24,Noite,Quarta-feira,5,2,0,1103.6,0
182,Sra. Sabrina Guerra,Fonseca dos Dourados,Tráfego Orgânico,Inglês Intermediário,45-54,Tarde,Quarta-feira,8,2,0,629.43,0
183,Diogo Rezende,Gonçalves de Abreu,Google Ads,Espanhol,55+,Tarde,Domingo,7,0,0,3255.3,0
184,Srta. Bianca Vasconcelos,da Paz,Instagram,Inglês Básico,25-34,,Segunda-feira,10,2,1,12539.58,0
185,Hellena Cavalcanti,Moreira,Tráfego Orgânico,Inglês Adulto,25-34,Noite,Segunda-feira,10,0,1,9402.65,1
186,Dra. Nicole Aragão,da Rosa,Facebook Ads,Espanhol,45-54,Noite,Sexta-feira,15,1,1,2043.65,0
187,Isadora Campos,da Rosa,Instagram,Inglês Básico,,Noite,Quinta-feira,3,1,1,3800.79,1
188,Catarina Martins,Cunha,Indicação,Inglês Adulto,18-24,Tarde,Segunda-feira,7,1,1,1564.0,0
189,Vitória Novais,Almeida Paulista,Facebook Ads,Francês,,Tarde,Segunda-feira,8,4,1,1700.81,0
190,Luiza Sá,Brito,Instagram,Inglês Básico,35-44,Noite,Terça-feira,10,1,1,,0
191,Sofia Lima,Marques,Evento Presencial,Inglês Básico,,Tarde,Terça-feira,3,4,0,3091.75,0
192,Melissa Castro,Cassiano Grande,Instagram,Inglês Adulto,25-34,Noite,Segunda-feira,5,3,0,3165.81,0
193,Sra. Milena da Luz,Fonseca Verde,Indicação,Inglês Intermediário,18-24,Noite,Terça-feira,7,4,0,4021.88,0
194,João Guilherme Vargas,da Conceição,Tráfego Orgânico,Inglês Básico,18-24,Manhã,Sexta-feira,6,2,0,5040.63,0
195,Raquel Pires,da Rosa de Minas,Instagram,Inglês Intermediário,35-44,Noite,Sábado,9,2,0,2908.04,0
196,João Guilherme Macedo,Nunes do Oeste,Instagram,Inglês Teens,35-44,Noite,Sábado,11,2,0,3570.39,0
197,João Pedro da Costa,Silveira,Google Ads,Inglês Básico,35-44,Noite,Quarta-feira,7,3,1,1917.78,0
198,Lucas Gabriel Dias,Vieira do Amparo,Tráfego Orgânico,Inglês Intermediário,35-44,Tarde,Terça-feira,6,3,0,1670.78,0
199,Anna Liz Carvalho,Mendonça,Instagram,Inglês Teens,25-34,Noite,Domingo,5,1,0,1534.69,0
200,Igor Gomes,Peixoto,Instagram,Inglês Adulto,,Tarde,Sexta-feira,10,4,0,5002.06,0
201,Srta. Hadassa Azevedo,Andrade Verde,Tráfego Orgânico,Inglês Teens,18-24,Tarde,Quinta-feira,5,2,0,2906.4,0
202,Maria Luísa Farias,Barros do Norte,Evento Presencial,Inglês Intermediário,,Manhã,Terça-feira,5,1,1,1250.63,0
203,Nina Leão,Ferreira das Pedras,Google Ads,Francês,25-34,Noite,Terça-feira,8,0,0,3380.64,0
204,Gustavo Leão,Campos de Goiás,Indicação,Inglês Adulto,18-24,Noite,Quinta-feira,9,3,0,1761.05,0
205,Alícia Teixeira,Porto,Indicação,Inglês Básico,18-24,Tarde,Quinta-feira,5,1,0,8723.07,0
206,Maria Helena Mendes,Aragão da Mata,Instagram,Espanhol,18-24,Noite,Segunda-feira,11,2,1,2545.71,0
207,Luiz Gustavo da Rosa,Dias,Indicação,Inglês Intermediário,35-44,Manhã,Domingo,8,1,1,5091.6,0
208,Mariah Nascimento,Duarte,Facebook Ads,Inglês Básico,35-44,Noite,Quinta-feira,6,2,0,,0
209,Dra. Ísis Pereira,Cassiano,Indicação,Inglês Básico,55+,Tarde,Quinta-feira,10,1,0,2070.01,0
210,Ryan Câmara,Rocha,Google Ads,Inglês Adulto,35-44,Noite,Terça-feira,9,0,1,3649.5,0
211,Pedro Henrique Mendonça,Machado Verde,Facebook Ads,Inglês Básico,35-44,Manhã,Sexta-feira,11,4,1,4745.37,0
212,Mathias Fernandes,Câmara,Google Ads,Inglês Básico,18-24,Noite,Sexta-feira,4,1,0,3729.65,1
213,Maria Luiza Silveira,da Rocha das Flores,Instagram,Inglês Básico,35-44,Tarde,Segunda-feira,5,2,0,4268.95,0
214,Ravi Lucca Cardoso,Cardoso,Tráfego Orgânico,Inglês Intermediário,18-24,,Quinta-feira,6,3,0,1684.5,0
215,Yasmin Alves,Barros do Amparo,Facebook Ads,Inglês Intermediário,25-34,Noite,Quinta-feira,5,0,0,,0
216,Amanda Barros,Novaes,Facebook Ads,Inglês Adulto,25-34,,Sábado,6,2,1,2678.81,0
217,Mariane Carvalho,da Luz de Minas,Indicação,Inglês Básico,25-34,Tarde,Terça-feira,4,2,1,4241.69,1
218,Emilly Aragão,Montenegro das Pedras,Indicação,Inglês Básico,25-34,Noite,Sábado,10,3,1,5805.22,0
219,Mateus Duarte,Teixeira,Evento Presencial,Inglês Adulto,35-44,Noite,Quarta-feira,5,3,1,5056.16,1
220,Rafael Duarte,Mendes,Instagram,Inglês Intermediário,45-54,Manhã,Segunda-feira,4,4,0,4239.98,0
